timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThread,Latency,IdleTime,Connect
1.60712E+12,1645,GetDistribution,200,OK,Thread Group 2-2317,text,TRUE,,374,307,18,18,1645,0,965
1.60712E+12,1398,GetDistribution,200,OK,Thread Group 2-2320,text,TRUE,,374,307,17,17,1398,0,780
1.60712E+12,1625,GetDistribution,200,OK,Thread Group 2-2318,text,TRUE,,374,307,17,17,1625,0,922
1.60712E+12,703,home-page,200,OK,Thread Group 2-2312,text,TRUE,,404,169,18,18,703,0,368
1.60712E+12,1633,GetDistribution,200,OK,Thread Group 2-2319,text,TRUE,,374,307,17,17,1633,0,971
1.60712E+12,1389,GetDistribution,200,OK,Thread Group 2-2323,text,TRUE,,374,307,19,19,1389,0,769
1.60712E+12,1608,GetDistribution,200,OK,Thread Group 2-2321,text,TRUE,,374,307,19,19,1608,0,929
1.60712E+12,1345,GetDistribution,200,OK,Thread Group 2-2324,text,TRUE,,374,307,19,19,1344,0,751
1.60712E+12,1603,GetDistribution,200,OK,Thread Group 2-2322,text,TRUE,,374,307,18,18,1603,0,959
1.60712E+12,1321,GetDistribution,200,OK,Thread Group 2-2325,text,TRUE,,374,307,17,17,1321,0,752
1.60712E+12,492,home-page,200,OK,Thread Group 2-2320,text,TRUE,,404,169,18,18,492,0,235
1.60712E+12,513,home-page,200,OK,Thread Group 2-2318,text,TRUE,,404,169,17,17,513,0,249
1.60712E+12,1355,GetDistribution,200,OK,Thread Group 2-2326,text,TRUE,,374,307,17,17,1355,0,743
1.60712E+12,605,home-page,200,OK,Thread Group 2-2319,text,TRUE,,404,169,17,17,605,0,294
1.60712E+12,1423,GetDistribution,200,OK,Thread Group 2-2328,text,TRUE,,374,307,17,17,1422,0,756
1.60712E+12,616,home-page,200,OK,Thread Group 2-2323,text,TRUE,,404,169,18,18,616,0,296
1.60712E+12,1613,GetDistribution,200,OK,Thread Group 2-2327,text,TRUE,,374,307,17,17,1613,0,927
1.60712E+12,604,home-page,200,OK,Thread Group 2-2325,text,TRUE,,404,169,18,18,604,0,292
1.60712E+12,1617,GetDistribution,200,OK,Thread Group 2-2329,text,TRUE,,374,307,18,18,1616,0,935
1.60712E+12,1295,GetDistribution,200,OK,Thread Group 2-2333,text,TRUE,,374,307,19,19,1295,0,741
1.60712E+12,1611,GetDistribution,200,OK,Thread Group 2-2330,text,TRUE,,374,307,18,18,1611,0,971
1.60712E+12,1583,GetDistribution,200,OK,Thread Group 2-2331,text,TRUE,,374,307,18,18,1583,0,951
1.60712E+12,486,home-page,200,OK,Thread Group 2-2327,text,TRUE,,404,169,19,19,486,0,237
1.60712E+12,1616,GetDistribution,200,OK,Thread Group 2-2332,text,TRUE,,374,307,18,18,1616,0,934
1.60712E+12,640,home-page,200,OK,Thread Group 2-2328,text,TRUE,,404,169,19,19,640,0,304
1.60712E+12,1381,GetDistribution,200,OK,Thread Group 2-2335,text,TRUE,,374,307,18,18,1381,0,763
1.60712E+12,1385,GetDistribution,200,OK,Thread Group 2-2336,text,TRUE,,374,307,19,19,1385,0,762
1.60712E+12,1668,GetDistribution,200,OK,Thread Group 2-2334,text,TRUE,,374,307,20,20,1668,0,970
1.60712E+12,633,home-page,200,OK,Thread Group 2-2329,text,TRUE,,404,169,19,19,633,0,307
1.60712E+12,512,home-page,200,OK,Thread Group 2-2331,text,TRUE,,404,169,19,19,512,0,247
1.60712E+12,1268,GetDistribution,200,OK,Thread Group 2-2339,text,TRUE,,374,307,19,19,1268,0,758
1.60712E+12,1415,GetDistribution,200,OK,Thread Group 2-2338,text,TRUE,,374,307,18,18,1415,0,760
1.60712E+12,629,home-page,200,OK,Thread Group 2-2332,text,TRUE,,404,169,20,20,629,0,292
1.60712E+12,487,home-page,200,OK,Thread Group 2-2336,text,TRUE,,404,169,20,20,487,0,240
1.60712E+12,606,home-page,200,OK,Thread Group 2-2335,text,TRUE,,404,169,19,19,606,0,299
1.60712E+12,1604,GetDistribution,200,OK,Thread Group 2-2340,text,TRUE,,374,307,19,19,1604,0,936
1.60712E+12,1913,GetDistribution,200,OK,Thread Group 2-2337,text,TRUE,,374,307,19,19,1913,0,962
1.60712E+12,491,home-page,200,OK,Thread Group 2-2339,text,TRUE,,404,169,19,19,491,0,235
1.60712E+12,1347,GetDistribution,200,OK,Thread Group 2-2343,text,TRUE,,374,307,19,19,1347,0,771
1.60712E+12,492,home-page,200,OK,Thread Group 2-2338,text,TRUE,,404,169,19,19,492,0,239
1.60712E+12,1656,GetDistribution,200,OK,Thread Group 2-2341,text,TRUE,,374,307,18,18,1656,0,967
1.60712E+12,1644,GetDistribution,200,OK,Thread Group 2-2342,text,TRUE,,374,307,18,18,1644,0,942
1.60712E+12,1468,GetDistribution,200,OK,Thread Group 2-2344,text,TRUE,,374,307,17,17,1468,0,937
1.60712E+12,1366,GetDistribution,200,OK,Thread Group 2-2345,text,TRUE,,374,307,18,18,1366,0,763
1.60712E+12,1307,GetDistribution,200,OK,Thread Group 2-2346,text,TRUE,,374,307,17,17,1307,0,758
1.60712E+12,504,home-page,200,OK,Thread Group 2-2340,text,TRUE,,404,169,18,18,503,0,243
1.60712E+12,499,home-page,200,OK,Thread Group 2-2337,text,TRUE,,404,169,18,18,498,0,244
1.60712E+12,1350,GetDistribution,200,OK,Thread Group 2-2348,text,TRUE,,374,307,16,16,1350,0,776
1.60712E+12,651,home-page,200,OK,Thread Group 2-2343,text,TRUE,,404,169,17,17,651,0,318
1.60712E+12,1662,GetDistribution,200,OK,Thread Group 2-2347,text,TRUE,,374,307,16,16,1662,0,939
1.60712E+12,499,home-page,200,OK,Thread Group 2-2345,text,TRUE,,404,169,16,16,499,0,246
1.60712E+12,1390,GetDistribution,200,OK,Thread Group 2-2350,text,TRUE,,374,307,15,15,1390,0,769
1.60712E+12,1552,GetDistribution,200,OK,Thread Group 2-2349,text,TRUE,,374,307,15,15,1552,0,933
1.60712E+12,1408,GetDistribution,200,OK,Thread Group 2-2351,text,TRUE,,374,307,15,15,1408,0,757
1.60712E+12,1331,GetDistribution,200,OK,Thread Group 2-2353,text,TRUE,,374,307,16,16,1331,0,754
1.60712E+12,1346,GetDistribution,200,OK,Thread Group 2-2354,text,TRUE,,374,307,17,17,1346,0,776
1.60712E+12,1578,GetDistribution,200,OK,Thread Group 2-2352,text,TRUE,,374,307,17,17,1578,0,937
1.60712E+12,478,home-page,200,OK,Thread Group 2-2350,text,TRUE,,404,169,17,17,478,0,237
1.60712E+12,1375,GetDistribution,200,OK,Thread Group 2-2356,text,TRUE,,374,307,18,18,1375,0,753
1.60712E+12,1481,GetDistribution,200,OK,Thread Group 2-2355,text,TRUE,,374,307,18,18,1481,0,918
1.60712E+12,1339,GetDistribution,200,OK,Thread Group 2-2357,text,TRUE,,374,307,17,17,1339,0,767
1.60712E+12,603,home-page,200,OK,Thread Group 2-2351,text,TRUE,,404,169,18,18,603,0,297
1.60712E+12,496,home-page,200,OK,Thread Group 2-2353,text,TRUE,,404,169,17,17,496,0,242
1.60712E+12,1317,GetDistribution,200,OK,Thread Group 2-2359,text,TRUE,,374,307,17,17,1317,0,745
1.60712E+12,624,home-page,200,OK,Thread Group 2-2352,text,TRUE,,404,169,19,19,624,0,307
1.60712E+12,1382,GetDistribution,200,OK,Thread Group 2-2360,text,TRUE,,374,307,18,18,1382,0,765
1.60712E+12,1242,GetDistribution,200,OK,Thread Group 2-2362,text,TRUE,,374,307,18,18,1242,0,752
1.60712E+12,490,home-page,200,OK,Thread Group 2-2356,text,TRUE,,404,169,18,18,490,0,240
1.60712E+12,1672,GetDistribution,200,OK,Thread Group 2-2358,text,TRUE,,374,307,17,17,1671,0,959
1.60712E+12,1371,GetDistribution,200,OK,Thread Group 2-2361,text,TRUE,,374,307,17,17,1370,0,753
1.60712E+12,492,home-page,200,OK,Thread Group 2-2357,text,TRUE,,404,169,15,15,492,0,240
1.60712E+12,494,home-page,200,OK,Thread Group 2-2359,text,TRUE,,404,169,16,16,494,0,240
1.60712E+12,1449,GetDistribution,200,OK,Thread Group 2-2364,text,TRUE,,374,307,16,16,1449,0,752
1.60712E+12,508,home-page,200,OK,Thread Group 2-2360,text,TRUE,,404,169,17,17,508,0,240
1.60712E+12,1712,GetDistribution,200,OK,Thread Group 2-2363,text,TRUE,,374,307,17,17,1712,0,962
1.60712E+12,1584,GetDistribution,200,OK,Thread Group 2-2365,text,TRUE,,374,307,17,17,1584,0,942
1.60712E+12,1344,GetDistribution,200,OK,Thread Group 2-2368,text,TRUE,,374,307,17,17,1344,0,762
1.60712E+12,1577,GetDistribution,200,OK,Thread Group 2-2366,text,TRUE,,374,307,17,17,1577,0,927
1.60712E+12,1223,GetDistribution,200,OK,Thread Group 2-2370,text,TRUE,,374,307,15,15,1223,0,757
1.60712E+12,1663,GetDistribution,200,OK,Thread Group 2-2367,text,TRUE,,374,307,16,16,1663,0,972
1.60712E+12,628,home-page,200,OK,Thread Group 2-2364,text,TRUE,,404,169,16,16,628,0,312
1.60712E+12,1388,GetDistribution,200,OK,Thread Group 2-2371,text,TRUE,,374,307,15,15,1388,0,783
1.60712E+12,1640,GetDistribution,200,OK,Thread Group 2-2369,text,TRUE,,374,307,15,15,1640,0,953
1.60712E+12,1545,GetDistribution,200,OK,Thread Group 2-2372,text,TRUE,,374,307,16,16,1545,0,935
1.60712E+12,1347,GetDistribution,200,OK,Thread Group 2-2374,text,TRUE,,374,307,16,16,1347,0,761
1.60712E+12,1560,GetDistribution,200,OK,Thread Group 2-2373,text,TRUE,,374,307,17,17,1560,0,923
1.60712E+12,487,home-page,200,OK,Thread Group 2-2371,text,TRUE,,404,169,18,18,487,0,241
1.60712E+12,1624,GetDistribution,200,OK,Thread Group 2-2375,text,TRUE,,374,307,18,18,1624,0,944
1.60712E+12,1599,GetDistribution,200,OK,Thread Group 2-2376,text,TRUE,,374,307,19,19,1599,0,934
1.60712E+12,489,home-page,200,OK,Thread Group 2-2372,text,TRUE,,404,169,19,19,489,0,241
1.60712E+12,1350,GetDistribution,200,OK,Thread Group 2-2379,text,TRUE,,374,307,18,18,1350,0,734
1.60712E+12,1459,GetDistribution,200,OK,Thread Group 2-2378,text,TRUE,,374,307,18,18,1459,0,772
1.60712E+12,1629,GetDistribution,200,OK,Thread Group 2-2377,text,TRUE,,374,307,18,18,1629,0,945
1.60712E+12,613,home-page,200,OK,Thread Group 2-2374,text,TRUE,,404,169,17,17,613,0,301
1.60712E+12,1535,GetDistribution,200,OK,Thread Group 2-2380,text,TRUE,,374,307,18,18,1535,0,979
1.60712E+12,1386,GetDistribution,200,OK,Thread Group 2-2382,text,TRUE,,374,307,19,19,1386,0,777
1.60712E+12,1382,GetDistribution,200,OK,Thread Group 2-2383,text,TRUE,,374,307,19,19,1382,0,761
1.60712E+12,625,home-page,200,OK,Thread Group 2-2375,text,TRUE,,404,169,20,20,624,0,310
1.60712E+12,487,home-page,200,OK,Thread Group 2-2379,text,TRUE,,404,169,19,19,487,0,236
1.60712E+12,1658,GetDistribution,200,OK,Thread Group 2-2381,text,TRUE,,374,307,18,18,1658,0,933
1.60712E+12,1361,GetDistribution,200,OK,Thread Group 2-2384,text,TRUE,,374,307,17,17,1361,0,762
1.60712E+12,604,home-page,200,OK,Thread Group 2-2376,text,TRUE,,404,169,17,17,604,0,299
1.60712E+12,502,home-page,200,OK,Thread Group 2-2380,text,TRUE,,404,169,19,19,502,0,237
1.60712E+12,483,home-page,200,OK,Thread Group 2-2382,text,TRUE,,404,169,18,18,483,0,234
1.60712E+12,1604,GetDistribution,200,OK,Thread Group 2-2385,text,TRUE,,374,307,18,18,1604,0,927
1.60712E+12,619,home-page,200,OK,Thread Group 2-2383,text,TRUE,,404,169,20,20,618,0,308
1.60712E+12,1649,GetDistribution,200,OK,Thread Group 2-2387,text,TRUE,,374,307,19,19,1649,0,984
1.60712E+12,622,home-page,200,OK,Thread Group 2-2384,text,TRUE,,404,169,18,18,622,0,303
1.60712E+12,1279,GetDistribution,200,OK,Thread Group 2-2391,text,TRUE,,374,307,18,18,1278,0,768
1.60712E+12,1641,GetDistribution,200,OK,Thread Group 2-2388,text,TRUE,,374,307,18,18,1641,0,925
1.60712E+12,1542,GetDistribution,200,OK,Thread Group 2-2389,text,TRUE,,374,307,18,18,1542,0,914
1.60712E+12,1937,GetDistribution,200,OK,Thread Group 2-2386,text,TRUE,,374,307,19,19,1937,0,936
1.60712E+12,625,home-page,200,OK,Thread Group 2-2385,text,TRUE,,404,169,19,19,625,0,290
1.60712E+12,1374,GetDistribution,200,OK,Thread Group 2-2393,text,TRUE,,374,307,19,19,1374,0,750
1.60712E+12,1478,GetDistribution,200,OK,Thread Group 2-2392,text,TRUE,,374,307,18,18,1478,0,734
1.60712E+12,1712,GetDistribution,200,OK,Thread Group 2-2390,text,TRUE,,374,307,19,19,1712,0,942
1.60712E+12,1324,GetDistribution,200,OK,Thread Group 2-2394,text,TRUE,,374,307,18,18,1324,0,752
1.60712E+12,498,home-page,200,OK,Thread Group 2-2389,text,TRUE,,404,169,19,19,498,0,240
1.60712E+12,1369,GetDistribution,200,OK,Thread Group 2-2396,text,TRUE,,374,307,18,18,1369,0,745
1.60712E+12,624,home-page,200,OK,Thread Group 2-2391,text,TRUE,,404,169,18,18,624,0,304
1.60712E+12,604,home-page,200,OK,Thread Group 2-2388,text,TRUE,,404,169,17,17,604,0,296
1.60712E+12,1610,GetDistribution,200,OK,Thread Group 2-2395,text,TRUE,,374,307,17,17,1610,0,946
1.60712E+12,486,home-page,200,OK,Thread Group 2-2393,text,TRUE,,404,169,17,17,486,0,234
1.60712E+12,1609,GetDistribution,200,OK,Thread Group 2-2397,text,TRUE,,373,307,18,18,1609,0,948
1.60712E+12,633,home-page,200,OK,Thread Group 2-2390,text,TRUE,,404,169,18,18,633,0,307
1.60712E+12,1611,GetDistribution,200,OK,Thread Group 2-2398,text,TRUE,,373,307,18,18,1610,0,953
