timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1.60712E+12,1067,GetDistribution,200,OK,Thread Group 2-47,text,TRUE,,370,307,10,10,1067,0,612
1.60712E+12,1122,GetDistribution,200,OK,Thread Group 2-48,text,TRUE,,370,307,11,11,1121,0,641
1.60712E+12,1024,GetDistribution,200,OK,Thread Group 2-49,text,TRUE,,370,307,10,10,1024,0,597
1.60712E+12,1068,GetDistribution,200,OK,Thread Group 2-50,text,TRUE,,370,307,10,10,1068,0,646
1.60712E+12,999,GetDistribution,200,OK,Thread Group 2-51,text,TRUE,,370,307,10,10,998,0,599
1.60712E+12,1050,GetDistribution,200,OK,Thread Group 2-52,text,TRUE,,370,307,10,10,1049,0,604
1.60712E+12,1057,GetDistribution,200,OK,Thread Group 2-53,text,TRUE,,370,307,10,10,1057,0,617
1.60712E+12,1038,GetDistribution,200,OK,Thread Group 2-54,text,TRUE,,371,307,10,10,1037,0,599
1.60712E+12,1076,GetDistribution,200,OK,Thread Group 2-57,text,TRUE,,371,307,12,12,1076,0,635
1.60712E+12,1072,GetDistribution,200,OK,Thread Group 2-58,text,TRUE,,371,307,12,12,1072,0,628
1.60712E+12,1395,GetDistribution,200,OK,Thread Group 2-55,text,TRUE,,371,307,12,12,1395,0,614
1.60712E+12,1323,GetDistribution,200,OK,Thread Group 2-56,text,TRUE,,371,307,11,11,1323,0,622
1.60712E+12,1088,GetDistribution,200,OK,Thread Group 2-59,text,TRUE,,371,307,11,11,1088,0,650
1.60712E+12,1032,GetDistribution,200,OK,Thread Group 2-60,text,TRUE,,371,307,10,10,1032,0,616
1.60712E+12,1100,GetDistribution,200,OK,Thread Group 2-61,text,TRUE,,371,307,11,11,1099,0,617
1.60712E+12,1084,GetDistribution,200,OK,Thread Group 2-62,text,TRUE,,371,307,11,11,1084,0,617
1.60712E+12,1160,GetDistribution,200,OK,Thread Group 2-63,text,TRUE,,371,307,11,11,1160,0,615
1.60712E+12,1087,GetDistribution,200,OK,Thread Group 2-64,text,TRUE,,371,307,11,11,1087,0,624
1.60712E+12,1080,GetDistribution,200,OK,Thread Group 2-65,text,TRUE,,371,307,11,11,1080,0,629
1.60712E+12,1055,GetDistribution,200,OK,Thread Group 2-66,text,TRUE,,371,307,10,10,1054,0,632
1.60712E+12,1160,GetDistribution,200,OK,Thread Group 2-67,text,TRUE,,371,307,11,11,1159,0,629
1.60712E+12,1078,GetDistribution,200,OK,Thread Group 2-68,text,TRUE,,371,307,11,11,1078,0,623
1.60712E+12,1120,GetDistribution,200,OK,Thread Group 2-69,text,TRUE,,371,307,11,11,1119,0,624
1.60712E+12,1091,GetDistribution,200,OK,Thread Group 2-70,text,TRUE,,371,307,11,11,1090,0,633
1.60712E+12,1072,GetDistribution,200,OK,Thread Group 2-71,text,TRUE,,371,307,10,10,1071,0,632
1.60712E+12,1100,GetDistribution,200,OK,Thread Group 2-73,text,TRUE,,370,307,12,12,1100,0,635
1.60712E+12,1118,GetDistribution,200,OK,Thread Group 2-74,text,TRUE,,370,307,12,12,1117,0,637
1.60712E+12,1391,GetDistribution,200,OK,Thread Group 2-72,text,TRUE,,370,307,11,11,1390,0,645
1.60712E+12,1134,GetDistribution,200,OK,Thread Group 2-75,text,TRUE,,370,307,11,11,1134,0,632
1.60712E+12,1092,GetDistribution,200,OK,Thread Group 2-76,text,TRUE,,370,307,11,11,1092,0,642
1.60712E+12,1121,GetDistribution,200,OK,Thread Group 2-77,text,TRUE,,370,307,11,11,1120,0,638
1.60712E+12,1097,GetDistribution,200,OK,Thread Group 2-79,text,TRUE,,370,307,12,12,1097,0,652
1.60712E+12,1309,GetDistribution,200,OK,Thread Group 2-78,text,TRUE,,370,307,11,11,1305,0,647
1.60712E+12,1112,GetDistribution,200,OK,Thread Group 2-80,text,TRUE,,370,307,11,11,1111,0,633
1.60712E+12,1082,GetDistribution,200,OK,Thread Group 2-81,text,TRUE,,370,307,11,11,1081,0,628
1.60712E+12,1089,GetDistribution,200,OK,Thread Group 2-82,text,TRUE,,372,307,11,11,1088,0,638
1.60712E+12,1117,GetDistribution,200,OK,Thread Group 2-83,text,TRUE,,372,307,11,11,1117,0,636
1.60712E+12,1109,GetDistribution,200,OK,Thread Group 2-84,text,TRUE,,372,307,11,11,1108,0,637
1.60712E+12,1137,GetDistribution,200,OK,Thread Group 2-85,text,TRUE,,372,307,11,11,1137,0,645
1.60712E+12,1124,GetDistribution,200,OK,Thread Group 2-86,text,TRUE,,372,307,10,10,1124,0,641
1.60712E+12,1084,GetDistribution,200,OK,Thread Group 2-87,text,TRUE,,372,307,10,10,1084,0,622
1.60712E+12,1084,GetDistribution,200,OK,Thread Group 2-88,text,TRUE,,372,307,10,10,1083,0,645
1.60712E+12,1104,GetDistribution,200,OK,Thread Group 2-90,text,TRUE,,372,307,11,11,1104,0,679
1.60712E+12,1289,GetDistribution,200,OK,Thread Group 2-89,text,TRUE,,372,307,11,11,1289,0,623
1.60712E+12,1086,GetDistribution,200,OK,Thread Group 2-91,text,TRUE,,372,307,10,10,1086,0,634
1.60712E+12,1080,GetDistribution,200,OK,Thread Group 2-92,text,TRUE,,372,307,10,10,1079,0,677
1.60712E+12,1066,GetDistribution,200,OK,Thread Group 2-93,text,TRUE,,372,307,10,10,1065,0,631
1.60712E+12,1103,GetDistribution,200,OK,Thread Group 2-94,text,TRUE,,372,307,10,10,1103,0,668
1.60712E+12,1113,GetDistribution,200,OK,Thread Group 2-95,text,TRUE,,372,307,11,11,1113,0,630
1.60712E+12,1078,GetDistribution,200,OK,Thread Group 2-96,text,TRUE,,372,307,11,11,1078,0,635
1.60712E+12,1071,GetDistribution,200,OK,Thread Group 2-97,text,TRUE,,372,307,11,11,1071,0,620
1.60712E+12,1082,GetDistribution,200,OK,Thread Group 2-98,text,TRUE,,372,307,11,11,1082,0,636
1.60712E+12,1074,GetDistribution,200,OK,Thread Group 2-99,text,TRUE,,372,307,11,11,1074,0,623
1.60712E+12,1044,GetDistribution,200,OK,Thread Group 2-100,text,TRUE,,372,307,10,10,1044,0,638
1.60712E+12,1084,GetDistribution,200,OK,Thread Group 2-101,text,TRUE,,372,307,11,11,1084,0,620
1.60712E+12,1149,GetDistribution,200,OK,Thread Group 2-102,text,TRUE,,372,307,11,11,1149,0,639
1.60712E+12,1053,GetDistribution,200,OK,Thread Group 2-103,text,TRUE,,372,307,11,11,1053,0,621
1.60712E+12,1034,GetDistribution,200,OK,Thread Group 2-104,text,TRUE,,372,307,10,10,1034,0,625
1.60712E+12,1057,GetDistribution,200,OK,Thread Group 2-105,text,TRUE,,372,307,10,10,1057,0,608
1.60712E+12,1072,GetDistribution,200,OK,Thread Group 2-106,text,TRUE,,372,307,11,11,1072,0,604
1.60712E+12,1057,GetDistribution,200,OK,Thread Group 2-107,text,TRUE,,372,307,10,10,1057,0,606
1.60712E+12,1087,GetDistribution,200,OK,Thread Group 2-108,text,TRUE,,372,307,11,11,1087,0,606
1.60712E+12,1075,GetDistribution,200,OK,Thread Group 2-109,text,TRUE,,372,307,10,10,1075,0,617
1.60712E+12,1084,GetDistribution,200,OK,Thread Group 2-110,text,TRUE,,372,307,11,11,1083,0,621
1.60712E+12,1089,GetDistribution,200,OK,Thread Group 2-111,text,TRUE,,372,307,11,11,1089,0,627
1.60712E+12,1036,GetDistribution,200,OK,Thread Group 2-112,text,TRUE,,372,307,10,10,1036,0,629
1.60712E+12,1106,GetDistribution,200,OK,Thread Group 2-113,text,TRUE,,372,307,11,11,1105,0,635
1.60712E+12,1086,GetDistribution,200,OK,Thread Group 2-114,text,TRUE,,372,307,10,10,1086,0,632
1.60712E+12,1088,GetDistribution,200,OK,Thread Group 2-115,text,TRUE,,372,307,10,10,1088,0,641
1.60712E+12,1101,GetDistribution,200,OK,Thread Group 2-116,text,TRUE,,372,307,11,11,1100,0,634
1.60712E+12,1084,GetDistribution,200,OK,Thread Group 2-117,text,TRUE,,372,307,10,10,1084,0,636
1.60712E+12,1131,GetDistribution,200,OK,Thread Group 2-118,text,TRUE,,372,307,11,11,1130,0,629
1.60712E+12,1093,GetDistribution,200,OK,Thread Group 2-119,text,TRUE,,372,307,11,11,1092,0,634
1.60712E+12,1053,GetDistribution,200,OK,Thread Group 2-120,text,TRUE,,372,307,10,10,1053,0,629
1.60712E+12,1080,GetDistribution,200,OK,Thread Group 2-121,text,TRUE,,372,307,10,10,1080,0,642
1.60712E+12,1066,GetDistribution,200,OK,Thread Group 2-122,text,TRUE,,372,307,10,10,1066,0,629
1.60712E+12,1092,GetDistribution,200,OK,Thread Group 2-123,text,TRUE,,372,307,11,11,1092,0,631
1.60712E+12,1101,GetDistribution,200,OK,Thread Group 2-124,text,TRUE,,372,307,11,11,1101,0,613
1.60712E+12,1122,GetDistribution,200,OK,Thread Group 2-125,text,TRUE,,372,307,11,11,1121,0,644
1.60712E+12,1021,GetDistribution,200,OK,Thread Group 2-126,text,TRUE,,372,307,11,11,1021,0,604
1.60712E+12,1125,GetDistribution,200,OK,Thread Group 2-127,text,TRUE,,372,307,11,11,1125,0,642
1.60712E+12,1049,GetDistribution,200,OK,Thread Group 2-128,text,TRUE,,372,307,10,10,1049,0,617
1.60712E+12,1108,GetDistribution,200,OK,Thread Group 2-129,text,TRUE,,372,307,11,11,1108,0,646
1.60712E+12,1102,GetDistribution,200,OK,Thread Group 2-130,text,TRUE,,372,307,11,11,1102,0,619
1.60712E+12,1100,GetDistribution,200,OK,Thread Group 2-131,text,TRUE,,372,307,11,11,1100,0,636
1.60712E+12,1083,GetDistribution,200,OK,Thread Group 2-132,text,TRUE,,372,307,10,10,1082,0,636
1.60712E+12,1084,GetDistribution,200,OK,Thread Group 2-133,text,TRUE,,372,307,10,10,1083,0,639
1.60712E+12,1079,GetDistribution,200,OK,Thread Group 2-134,text,TRUE,,372,307,10,10,1079,0,656
1.60712E+12,1079,GetDistribution,200,OK,Thread Group 2-135,text,TRUE,,372,307,10,10,1079,0,643
1.60712E+12,1137,GetDistribution,200,OK,Thread Group 2-136,text,TRUE,,372,307,11,11,1137,0,654
1.60712E+12,1158,GetDistribution,200,OK,Thread Group 2-137,text,TRUE,,371,307,11,11,1158,0,633
1.60712E+12,1092,GetDistribution,200,OK,Thread Group 2-138,text,TRUE,,371,307,11,11,1092,0,628
1.60712E+12,1088,GetDistribution,200,OK,Thread Group 2-139,text,TRUE,,371,307,10,10,1088,0,638
